"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"8846","consent.html","external-html","0","9171","0.0-0.0","1cm51ddgsc9r21bwe97x","female","journey","","","","",""
"22330","","instructions","1","31505","0.0-1.0","1cm51ddgsc9r21bwe97x","female","journey","[{""page_index"":0,""viewing_time"":3434},{""page_index"":1,""viewing_time"":14110},{""page_index"":2,""viewing_time"":3578},{""page_index"":3,""viewing_time"":1205}]","","","",""
"38794","","html-slider-response","2","70310","0.0-2.0","1cm51ddgsc9r21bwe97x","female","journey","","10","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","trial",""
"11170","","survey-likert","3","81491","0.0-3.0-0.0","1cm51ddgsc9r21bwe97x","female","journey","","","","peace","{""Q0"":5}"
"3513","","survey-likert","4","85039","0.0-3.0-1.0","1cm51ddgsc9r21bwe97x","female","journey","","","","sympathy","{""Q0"":6}"
"5389","","survey-likert","5","90461","0.0-3.0-2.0","1cm51ddgsc9r21bwe97x","female","journey","","","","guilty","{""Q0"":1}"
"4843","","survey-likert","6","95337","0.0-3.0-3.0","1cm51ddgsc9r21bwe97x","female","journey","","","","urgent","{""Q0"":6}"
"2989","","survey-multi-choice","7","98362","0.0-4.0-0.0","1cm51ddgsc9r21bwe97x","female","journey","","","","self-cancer","{""Q0"":""No""}"
"2960","","survey-multi-choice","8","101356","0.0-4.0-1.0","1cm51ddgsc9r21bwe97x","female","journey","","","","ff-cancer","{""Q0"":""Yes""}"
"11862","","survey-multi-choice","9","113270","0.0-5.0","1cm51ddgsc9r21bwe97x","female","journey","","","","demographics","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3487","","survey-text","10","116795","0.0-6.0","1cm51ddgsc9r21bwe97x","female","journey","","","","age","{""Q0"":""35""}"
"2641","","survey-text","11","119441","0.0-7.0","1cm51ddgsc9r21bwe97x","female","journey","","","","purpose","{""Q0"":""""}"
"1077","","survey-text","12","120522","0.0-8.0","1cm51ddgsc9r21bwe97x","female","journey","","","","feedback","{""Q0"":""""}"
"8257","debrief.html","external-html","13","129058","0.0-9.0","1cm51ddgsc9r21bwe97x","female","journey","","","","",""
