"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"18473","consent.html","external-html","0","18630","0.0-0.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","",""
"109812","","instructions","1","128444","0.0-1.0","hkv9y3dv3zhr3vgp7aku","female","battle","[{""page_index"":0,""viewing_time"":7565},{""page_index"":1,""viewing_time"":95233},{""page_index"":2,""viewing_time"":3832},{""page_index"":3,""viewing_time"":3182}]","","","",""
"40364","","html-slider-response","2","168811","0.0-2.0","hkv9y3dv3zhr3vgp7aku","female","battle","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","trial",""
"6025","","survey-likert","3","174838","0.0-3.0-0.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","sympathy","{""Q0"":0}"
"23331","","survey-likert","4","198170","0.0-3.0-1.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","urgent","{""Q0"":4}"
"4697","","survey-likert","5","202869","0.0-3.0-2.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","guilty","{""Q0"":0}"
"3256","","survey-likert","6","206126","0.0-3.0-3.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","peace","{""Q0"":3}"
"3581","","survey-multi-choice","7","209709","0.0-4.0-0.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","ff-cancer","{""Q0"":""Yes""}"
"3852","","survey-multi-choice","8","213564","0.0-4.0-1.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","self-cancer","{""Q0"":""No""}"
"13332","","survey-multi-choice","9","226902","0.0-5.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4280","","survey-text","10","231184","0.0-6.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","age","{""Q0"":""35""}"
"2037","","survey-text","11","233221","0.0-7.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","purpose","{""Q0"":""""}"
"1027","","survey-text","12","234248","0.0-8.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","feedback","{""Q0"":""""}"
"3073","debrief.html","external-html","13","237465","0.0-9.0","hkv9y3dv3zhr3vgp7aku","female","battle","","","","",""
