"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"14454","consent.html","external-html","0","15267","0.0-0.0","2vqfn32drxencqqg7c4c","male","journey","","","","",""
"37116","","instructions","1","52386","0.0-1.0","2vqfn32drxencqqg7c4c","male","journey","[{""page_index"":0,""viewing_time"":6667},{""page_index"":1,""viewing_time"":25449},{""page_index"":2,""viewing_time"":3965},{""page_index"":3,""viewing_time"":1033}]","","","",""
"15558","","html-slider-response","2","67952","0.0-2.0","2vqfn32drxencqqg7c4c","male","journey","","5","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","trial",""
"4663","","survey-likert","3","72619","0.0-3.0-0.0","2vqfn32drxencqqg7c4c","male","journey","","","","urgent","{""Q0"":3}"
"2252","","survey-likert","4","74874","0.0-3.0-1.0","2vqfn32drxencqqg7c4c","male","journey","","","","sympathy","{""Q0"":6}"
"9396","","survey-likert","5","84274","0.0-3.0-2.0","2vqfn32drxencqqg7c4c","male","journey","","","","guilty","{""Q0"":4}"
"27012","","survey-likert","6","111290","0.0-3.0-3.0","2vqfn32drxencqqg7c4c","male","journey","","","","peace","{""Q0"":6}"
"3860","","survey-multi-choice","7","115182","0.0-4.0-0.0","2vqfn32drxencqqg7c4c","male","journey","","","","ff-cancer","{""Q0"":""Yes""}"
"1664","","survey-multi-choice","8","116850","0.0-4.0-1.0","2vqfn32drxencqqg7c4c","male","journey","","","","self-cancer","{""Q0"":""No""}"
"7115","","survey-multi-choice","9","123980","0.0-5.0","2vqfn32drxencqqg7c4c","male","journey","","","","demographics","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4331","","survey-text","10","128316","0.0-6.0","2vqfn32drxencqqg7c4c","male","journey","","","","age","{""Q0"":""31""}"
"2782","","survey-text","11","131100","0.0-7.0","2vqfn32drxencqqg7c4c","male","journey","","","","purpose","{""Q0"":""""}"
"935","","survey-text","12","132037","0.0-8.0","2vqfn32drxencqqg7c4c","male","journey","","","","feedback","{""Q0"":""""}"
"8909","debrief.html","external-html","13","141270","0.0-9.0","2vqfn32drxencqqg7c4c","male","journey","","","","",""
