"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"121144","consent.html","external-html","0","121343","0.0-0.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","",""
"11539","","instructions","1","132883","0.0-1.0","g1hzbep0b8hoy0vmtqz0","female","battle","[{""page_index"":0,""viewing_time"":1232},{""page_index"":1,""viewing_time"":9258},{""page_index"":2,""viewing_time"":662},{""page_index"":3,""viewing_time"":386}]","","","",""
"3179","","html-slider-response","2","136064","0.0-2.0","g1hzbep0b8hoy0vmtqz0","female","battle","","31","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","trial",""
"1996","","survey-likert","3","138061","0.0-3.0-0.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","urgent","{""Q0"":6}"
"919","","survey-likert","4","138981","0.0-3.0-1.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","sympathy","{""Q0"":0}"
"2351","","survey-likert","5","141333","0.0-3.0-2.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","guilty","{""Q0"":4}"
"750","","survey-likert","6","142085","0.0-3.0-3.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","peace","{""Q0"":3}"
"2172","","survey-multi-choice","7","144259","0.0-4.0-0.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","ff-cancer","{""Q0"":""No""}"
"1222","","survey-multi-choice","8","145483","0.0-4.0-1.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","self-cancer","{""Q0"":""No""}"
"4773","","survey-multi-choice","9","150261","0.0-5.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","demographics","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3334","","survey-text","10","153596","0.0-6.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","age","{""Q0"":""25""}"
"1811","","survey-text","11","155408","0.0-7.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","purpose","{""Q0"":""""}"
"337","","survey-text","12","155746","0.0-8.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","feedback","{""Q0"":""""}"
"1328","debrief.html","external-html","13","157372","0.0-9.0","g1hzbep0b8hoy0vmtqz0","female","battle","","","","",""
