"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"32142","consent.html","external-html","0","32293","0.0-0.0","n8eh3250p98lbovg3tyu","male","battle","","","","",""
"25930","","instructions","1","58227","0.0-1.0","n8eh3250p98lbovg3tyu","male","battle","[{""page_index"":0,""viewing_time"":4904},{""page_index"":1,""viewing_time"":14906},{""page_index"":2,""viewing_time"":4624},{""page_index"":3,""viewing_time"":1493}]","","","",""
"24692","","html-slider-response","2","82927","0.0-2.0","n8eh3250p98lbovg3tyu","male","battle","","10","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","trial",""
"6717","","survey-likert","3","89650","0.0-3.0-0.0","n8eh3250p98lbovg3tyu","male","battle","","","","urgent","{""Q0"":4}"
"3181","","survey-likert","4","92867","0.0-3.0-1.0","n8eh3250p98lbovg3tyu","male","battle","","","","sympathy","{""Q0"":5}"
"3977","","survey-likert","5","96879","0.0-3.0-2.0","n8eh3250p98lbovg3tyu","male","battle","","","","peace","{""Q0"":2}"
"8806","","survey-likert","6","105720","0.0-3.0-3.0","n8eh3250p98lbovg3tyu","male","battle","","","","guilty","{""Q0"":4}"
"4737","","survey-multi-choice","7","110500","0.0-4.0-0.0","n8eh3250p98lbovg3tyu","male","battle","","","","ff-cancer","{""Q0"":""Yes""}"
"3413","","survey-multi-choice","8","113956","0.0-4.0-1.0","n8eh3250p98lbovg3tyu","male","battle","","","","self-cancer","{""Q0"":""No""}"
"10214","","survey-multi-choice","9","124226","0.0-5.0","n8eh3250p98lbovg3tyu","male","battle","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3466","","survey-text","10","127730","0.0-6.0","n8eh3250p98lbovg3tyu","male","battle","","","","age","{""Q0"":""39""}"
"26142","","survey-text","11","153876","0.0-7.0","n8eh3250p98lbovg3tyu","male","battle","","","","purpose","{""Q0"":""How sympathetic people feel to perfect strangers who are reaching out on crowdfunding sites for financial help. ""}"
"3751","","survey-text","12","157630","0.0-8.0","n8eh3250p98lbovg3tyu","male","battle","","","","feedback","{""Q0"":""none""}"
"6028","debrief.html","external-html","13","163848","0.0-9.0","n8eh3250p98lbovg3tyu","male","battle","","","","",""
