"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"5917","consent.html","external-html","0","6107","0.0-0.0","pafsw7el3hwbwscxpp8y","male","literal","","","","",""
"7820","","instructions","1","13928","0.0-1.0","pafsw7el3hwbwscxpp8y","male","literal","[{""page_index"":0,""viewing_time"":3697},{""page_index"":1,""viewing_time"":1339},{""page_index"":2,""viewing_time"":1510},{""page_index"":3,""viewing_time"":1273}]","","","",""
"7348","","html-slider-response","2","21292","0.0-2.0","pafsw7el3hwbwscxpp8y","male","literal","","35","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","trial",""
"3301","","survey-likert","3","24601","0.0-3.0-0.0","pafsw7el3hwbwscxpp8y","male","literal","","","","guilty","{""Q0"":5}"
"3039","","survey-likert","4","27642","0.0-3.0-1.0","pafsw7el3hwbwscxpp8y","male","literal","","","","peace","{""Q0"":6}"
"2501","","survey-likert","5","30146","0.0-3.0-2.0","pafsw7el3hwbwscxpp8y","male","literal","","","","urgent","{""Q0"":5}"
"2893","","survey-likert","6","33043","0.0-3.0-3.0","pafsw7el3hwbwscxpp8y","male","literal","","","","sympathy","{""Q0"":4}"
"5561","","survey-multi-choice","7","38611","0.0-4.0-0.0","pafsw7el3hwbwscxpp8y","male","literal","","","","ff-cancer","{""Q0"":""No""}"
"2223","","survey-multi-choice","8","40837","0.0-4.0-1.0","pafsw7el3hwbwscxpp8y","male","literal","","","","self-cancer","{""Q0"":""No""}"
"11733","","survey-multi-choice","9","52582","0.0-5.0","pafsw7el3hwbwscxpp8y","male","literal","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"7348","","survey-text","10","59934","0.0-6.0","pafsw7el3hwbwscxpp8y","male","literal","","","","age","{""Q0"":""1996""}"
"13229","","survey-text","11","73164","0.0-7.0","pafsw7el3hwbwscxpp8y","male","literal","","","","purpose","{""Q0"":""easy to understand""}"
"6121","","survey-text","12","79287","0.0-8.0","pafsw7el3hwbwscxpp8y","male","literal","","","","feedback","{""Q0"":""good""}"
"8303","debrief.html","external-html","13","88061","0.0-9.0","pafsw7el3hwbwscxpp8y","male","literal","","","","",""
