"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"2394","consent.html","external-html","0","2492","0.0-0.0","n1406uyk40c5u1ypvucv","male","literal","","","","",""
"20714","","instructions","1","23207","0.0-1.0","n1406uyk40c5u1ypvucv","male","literal","[{""page_index"":0,""viewing_time"":4872},{""page_index"":1,""viewing_time"":13300},{""page_index"":2,""viewing_time"":1472},{""page_index"":3,""viewing_time"":1069}]","","","",""
"5140","","html-slider-response","2","28349","0.0-2.0","n1406uyk40c5u1ypvucv","male","literal","","25","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","trial",""
"8172","","survey-likert","3","36523","0.0-3.0-0.0","n1406uyk40c5u1ypvucv","male","literal","","","","sympathy","{""Q0"":4}"
"2059","","survey-likert","4","38583","0.0-3.0-1.0","n1406uyk40c5u1ypvucv","male","literal","","","","guilty","{""Q0"":3}"
"2246","","survey-likert","5","40830","0.0-3.0-2.0","n1406uyk40c5u1ypvucv","male","literal","","","","peace","{""Q0"":3}"
"1030","","survey-likert","6","41861","0.0-3.0-3.0","n1406uyk40c5u1ypvucv","male","literal","","","","urgent","{""Q0"":3}"
"3220","","survey-multi-choice","7","45083","0.0-4.0-0.0","n1406uyk40c5u1ypvucv","male","literal","","","","self-cancer","{""Q0"":""No""}"
"1970","","survey-multi-choice","8","47056","0.0-4.0-1.0","n1406uyk40c5u1ypvucv","male","literal","","","","ff-cancer","{""Q0"":""No""}"
"5889","","survey-multi-choice","9","52949","0.0-5.0","n1406uyk40c5u1ypvucv","male","literal","","","","demographics","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4071","","survey-text","10","57022","0.0-6.0","n1406uyk40c5u1ypvucv","male","literal","","","","age","{""Q0"":""29""}"
"3172","","survey-text","11","60194","0.0-7.0","n1406uyk40c5u1ypvucv","male","literal","","","","purpose","{""Q0"":""""}"
"1389","","survey-text","12","61584","0.0-8.0","n1406uyk40c5u1ypvucv","male","literal","","","","feedback","{""Q0"":""""}"
"2086","debrief.html","external-html","13","63909","0.0-9.0","n1406uyk40c5u1ypvucv","male","literal","","","","",""
