"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"4096","consent.html","external-html","0","4250","0.0-0.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","",""
"17058","","instructions","1","21309","0.0-1.0","r7ryqa1pbfbmg0hcvwk7","female","battle","[{""page_index"":0,""viewing_time"":4577},{""page_index"":1,""viewing_time"":7767},{""page_index"":2,""viewing_time"":3273},{""page_index"":3,""viewing_time"":1440}]","","","",""
"35285","","html-slider-response","2","56597","0.0-2.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","trial",""
"6015","","survey-likert","3","62613","0.0-3.0-0.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","sympathy","{""Q0"":5}"
"6838","","survey-likert","4","69452","0.0-3.0-1.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","guilty","{""Q0"":5}"
"3839","","survey-likert","5","73293","0.0-3.0-2.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","peace","{""Q0"":3}"
"3847","","survey-likert","6","77141","0.0-3.0-3.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","urgent","{""Q0"":5}"
"3100","","survey-multi-choice","7","80245","0.0-4.0-0.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","ff-cancer","{""Q0"":""No""}"
"2229","","survey-multi-choice","8","82476","0.0-4.0-1.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","self-cancer","{""Q0"":""No""}"
"8074","","survey-multi-choice","9","90565","0.0-5.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","demographics","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4127","","survey-text","10","94693","0.0-6.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","age","{""Q0"":""47""}"
"2117","","survey-text","11","96812","0.0-7.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","purpose","{""Q0"":""""}"
"863","","survey-text","12","97676","0.0-8.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","feedback","{""Q0"":""""}"
"3356","debrief.html","external-html","13","101360","0.0-9.0","r7ryqa1pbfbmg0hcvwk7","female","battle","","","","",""
