"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"7234","consent.html","external-html","0","7426","0.0-0.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","",""
"38849","","instructions","1","46279","0.0-1.0","necv0lu0cu0a6t5rd1zt","male","literal","[{""page_index"":0,""viewing_time"":12081},{""page_index"":1,""viewing_time"":21159},{""page_index"":2,""viewing_time"":4464},{""page_index"":3,""viewing_time"":1144}]","","","",""
"64299","","html-slider-response","2","110582","0.0-2.0","necv0lu0cu0a6t5rd1zt","male","literal","","35","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","trial",""
"7020","","survey-likert","3","117606","0.0-3.0-0.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","peace","{""Q0"":3}"
"10069","","survey-likert","4","127677","0.0-3.0-1.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","urgent","{""Q0"":4}"
"4711","","survey-likert","5","132389","0.0-3.0-2.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","guilty","{""Q0"":3}"
"2990","","survey-likert","6","135381","0.0-3.0-3.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","sympathy","{""Q0"":6}"
"12611","","survey-multi-choice","7","147997","0.0-4.0-0.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","ff-cancer","{""Q0"":""Yes""}"
"2453","","survey-multi-choice","8","150453","0.0-4.0-1.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","self-cancer","{""Q0"":""No""}"
"13461","","survey-multi-choice","9","163925","0.0-5.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","demographics","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4116","","survey-text","10","168044","0.0-6.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","age","{""Q0"":""46""}"
"10374","","survey-text","11","178419","0.0-7.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","purpose","{""Q0"":""not sure, sorry""}"
"2191","","survey-text","12","180611","0.0-8.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","feedback","{""Q0"":""""}"
"32561","debrief.html","external-html","13","213259","0.0-9.0","necv0lu0cu0a6t5rd1zt","male","literal","","","","",""
