"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"5910","consent.html","external-html","0","6066","0.0-0.0","g349ryc8gj3lncpeznzc","female","literal","","","","",""
"6134","","instructions","1","12203","0.0-1.0","g349ryc8gj3lncpeznzc","female","literal","[{""page_index"":0,""viewing_time"":2150},{""page_index"":1,""viewing_time"":1698},{""page_index"":2,""viewing_time"":1552},{""page_index"":3,""viewing_time"":733}]","","","",""
"40810","","html-slider-response","2","53016","0.0-2.0","g349ryc8gj3lncpeznzc","female","literal","","10","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","trial",""
"5554","","survey-likert","3","58572","0.0-3.0-0.0","g349ryc8gj3lncpeznzc","female","literal","","","","serious","{""Q0"":5}"
"7295","","survey-likert","4","65869","0.0-3.0-1.0","g349ryc8gj3lncpeznzc","female","literal","","","","guilty","{""Q0"":1}"
"2025","","survey-likert","5","67896","0.0-3.0-2.0","g349ryc8gj3lncpeznzc","female","literal","","","","urgent","{""Q0"":5}"
"1870","","survey-likert","6","69769","0.0-3.0-3.0","g349ryc8gj3lncpeznzc","female","literal","","","","peace","{""Q0"":3}"
"2851","","survey-likert","7","72623","0.0-3.0-4.0","g349ryc8gj3lncpeznzc","female","literal","","","","sympathy","{""Q0"":5}"
"4577","","survey-multi-choice","8","77204","0.0-4.0-0.0","g349ryc8gj3lncpeznzc","female","literal","","","","ff-cancer","{""Q0"":""Prefer not to say""}"
"2184","","survey-multi-choice","9","79391","0.0-4.0-1.0","g349ryc8gj3lncpeznzc","female","literal","","","","self-cancer","{""Q0"":""Prefer not to say""}"
"6714","","survey-multi-choice","10","86112","0.0-5.0","g349ryc8gj3lncpeznzc","female","literal","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3376","","survey-text","11","89491","0.0-6.0","g349ryc8gj3lncpeznzc","female","literal","","","","age","{""Q0"":""30""}"
"4992","","survey-text","12","94484","0.0-7.0","g349ryc8gj3lncpeznzc","female","literal","","","","purpose","{""Q0"":""""}"
"1200","","survey-text","13","95685","0.0-8.0","g349ryc8gj3lncpeznzc","female","literal","","","","feedback","{""Q0"":""""}"
"10439","debrief.html","external-html","14","106256","0.0-9.0","g349ryc8gj3lncpeznzc","female","literal","","","","",""
