"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"14469","consent.html","external-html","0","14735","0.0-0.0","0bqzaop1zrpbom7l2htq","male","battle","","","","",""
"24557","","instructions","1","39294","0.0-1.0","0bqzaop1zrpbom7l2htq","male","battle","[{""page_index"":0,""viewing_time"":6746},{""page_index"":1,""viewing_time"":11296},{""page_index"":2,""viewing_time"":5390},{""page_index"":3,""viewing_time"":1124}]","","","",""
"37351","","html-slider-response","2","76655","0.0-2.0","0bqzaop1zrpbom7l2htq","male","battle","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","trial",""
"12855","","survey-likert","3","89514","0.0-3.0-0.0","0bqzaop1zrpbom7l2htq","male","battle","","","","guilty","{""Q0"":5}"
"5639","","survey-likert","4","95156","0.0-3.0-1.0","0bqzaop1zrpbom7l2htq","male","battle","","","","peace","{""Q0"":4}"
"2905","","survey-likert","5","98066","0.0-3.0-2.0","0bqzaop1zrpbom7l2htq","male","battle","","","","serious","{""Q0"":6}"
"3975","","survey-likert","6","102045","0.0-3.0-3.0","0bqzaop1zrpbom7l2htq","male","battle","","","","sympathy","{""Q0"":6}"
"3461","","survey-likert","7","105517","0.0-3.0-4.0","0bqzaop1zrpbom7l2htq","male","battle","","","","urgent","{""Q0"":6}"
"2557","","survey-multi-choice","8","108079","0.0-4.0-0.0","0bqzaop1zrpbom7l2htq","male","battle","","","","self-cancer","{""Q0"":""No""}"
"3653","","survey-multi-choice","9","111740","0.0-4.0-1.0","0bqzaop1zrpbom7l2htq","male","battle","","","","ff-cancer","{""Q0"":""Yes""}"
"13057","","survey-multi-choice","10","124813","0.0-5.0","0bqzaop1zrpbom7l2htq","male","battle","","","","demographics","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"7255","","survey-text","11","132073","0.0-6.0","0bqzaop1zrpbom7l2htq","male","battle","","","","age","{""Q0"":""45""}"
"2333","","survey-text","12","134407","0.0-7.0","0bqzaop1zrpbom7l2htq","male","battle","","","","purpose","{""Q0"":""""}"
"6779","","survey-text","13","141188","0.0-8.0","0bqzaop1zrpbom7l2htq","male","battle","","","","feedback","{""Q0"":""""}"
"6108","debrief.html","external-html","14","147617","0.0-9.0","0bqzaop1zrpbom7l2htq","male","battle","","","","",""
