"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"3227","consent.html","external-html","0","3412","0.0-0.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","",""
"16121","","instructions","1","19533","0.0-1.0","x3g3wr8knxwqqzmbrnzw","female","battle","[{""page_index"":0,""viewing_time"":3147},{""page_index"":1,""viewing_time"":9699},{""page_index"":2,""viewing_time"":2526},{""page_index"":3,""viewing_time"":748}]","","","",""
"24682","","html-slider-response","2","44217","0.0-2.0","x3g3wr8knxwqqzmbrnzw","female","battle","","15","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","trial",""
"7210","","survey-likert","3","51428","0.0-3.0-0.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","guilty","{""Q0"":3}"
"2351","","survey-likert","4","53780","0.0-3.0-1.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","urgent","{""Q0"":5}"
"3671","","survey-likert","5","57452","0.0-3.0-2.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","peace","{""Q0"":3}"
"2959","","survey-likert","6","60413","0.0-3.0-3.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","sympathy","{""Q0"":6}"
"2294","","survey-multi-choice","7","62709","0.0-4.0-0.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","self-cancer","{""Q0"":""No""}"
"2958","","survey-multi-choice","8","65668","0.0-4.0-1.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","ff-cancer","{""Q0"":""Yes""}"
"6427","","survey-multi-choice","9","72101","0.0-5.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","demographics","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"3046","","survey-text","10","75149","0.0-6.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","age","{""Q0"":""27""}"
"1834","","survey-text","11","76983","0.0-7.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","purpose","{""Q0"":""""}"
"965","","survey-text","12","77949","0.0-8.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","feedback","{""Q0"":""""}"
"2762","debrief.html","external-html","13","80926","0.0-9.0","x3g3wr8knxwqqzmbrnzw","female","battle","","","","",""
