"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"5707","consent.html","external-html","0","5849","0.0-0.0","jqvcpknlc95z823ogf3c","male","literal","","","","",""
"110009","","instructions","1","115860","0.0-1.0","jqvcpknlc95z823ogf3c","male","literal","[{""page_index"":0,""viewing_time"":7856},{""page_index"":1,""viewing_time"":96420},{""page_index"":2,""viewing_time"":4162},{""page_index"":3,""viewing_time"":1570}]","","","",""
"81699","","html-slider-response","2","197562","0.0-2.0","jqvcpknlc95z823ogf3c","male","literal","","5","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","trial",""
"12108","","survey-likert","3","209672","0.0-3.0-0.0","jqvcpknlc95z823ogf3c","male","literal","","","","sympathy","{""Q0"":6}"
"8031","","survey-likert","4","217706","0.0-3.0-1.0","jqvcpknlc95z823ogf3c","male","literal","","","","guilty","{""Q0"":0}"
"5889","","survey-likert","5","223599","0.0-3.0-2.0","jqvcpknlc95z823ogf3c","male","literal","","","","peace","{""Q0"":3}"
"3344","","survey-likert","6","226946","0.0-3.0-3.0","jqvcpknlc95z823ogf3c","male","literal","","","","urgent","{""Q0"":6}"
"5501","","survey-multi-choice","7","232453","0.0-4.0-0.0","jqvcpknlc95z823ogf3c","male","literal","","","","ff-cancer","{""Q0"":""Yes""}"
"3065","","survey-multi-choice","8","235525","0.0-4.0-1.0","jqvcpknlc95z823ogf3c","male","literal","","","","self-cancer","{""Q0"":""No""}"
"11887","","survey-multi-choice","9","247441","0.0-5.0","jqvcpknlc95z823ogf3c","male","literal","","","","demographics","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3480","","survey-text","10","250925","0.0-6.0","jqvcpknlc95z823ogf3c","male","literal","","","","age","{""Q0"":""42""}"
"3701","","survey-text","11","254626","0.0-7.0","jqvcpknlc95z823ogf3c","male","literal","","","","purpose","{""Q0"":""""}"
"2195","","survey-text","12","256822","0.0-8.0","jqvcpknlc95z823ogf3c","male","literal","","","","feedback","{""Q0"":""""}"
"2359","debrief.html","external-html","13","259511","0.0-9.0","jqvcpknlc95z823ogf3c","male","literal","","","","",""
