"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"6150","consent.html","external-html","0","6261","0.0-0.0","gkgko2fveq25jz2f6rjs","female","battle","","","","",""
"40716","","instructions","1","46978","0.0-1.0","gkgko2fveq25jz2f6rjs","female","battle","[{""page_index"":0,""viewing_time"":5028},{""page_index"":1,""viewing_time"":31039},{""page_index"":2,""viewing_time"":3616},{""page_index"":3,""viewing_time"":1032}]","","","",""
"23775","","html-slider-response","2","70754","0.0-2.0","gkgko2fveq25jz2f6rjs","female","battle","","30","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","trial",""
"8887","","survey-likert","3","79642","0.0-3.0-0.0","gkgko2fveq25jz2f6rjs","female","battle","","","","sympathy","{""Q0"":5}"
"2940","","survey-likert","4","82586","0.0-3.0-1.0","gkgko2fveq25jz2f6rjs","female","battle","","","","urgent","{""Q0"":4}"
"4757","","survey-likert","5","87346","0.0-3.0-2.0","gkgko2fveq25jz2f6rjs","female","battle","","","","guilty","{""Q0"":4}"
"2318","","survey-likert","6","89666","0.0-3.0-3.0","gkgko2fveq25jz2f6rjs","female","battle","","","","peace","{""Q0"":4}"
"2460","","survey-multi-choice","7","92130","0.0-4.0-0.0","gkgko2fveq25jz2f6rjs","female","battle","","","","self-cancer","{""Q0"":""No""}"
"2116","","survey-multi-choice","8","94250","0.0-4.0-1.0","gkgko2fveq25jz2f6rjs","female","battle","","","","ff-cancer","{""Q0"":""No""}"
"6715","","survey-multi-choice","9","100970","0.0-5.0","gkgko2fveq25jz2f6rjs","female","battle","","","","demographics","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"2181","","survey-text","10","103154","0.0-6.0","gkgko2fveq25jz2f6rjs","female","battle","","","","age","{""Q0"":""33""}"
"2310","","survey-text","11","105465","0.0-7.0","gkgko2fveq25jz2f6rjs","female","battle","","","","purpose","{""Q0"":""ty""}"
"2031","","survey-text","12","107497","0.0-8.0","gkgko2fveq25jz2f6rjs","female","battle","","","","feedback","{""Q0"":""ty""}"
"4397","debrief.html","external-html","13","112187","0.0-9.0","gkgko2fveq25jz2f6rjs","female","battle","","","","",""
