"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"9728","consent.html","external-html","0","9931","0.0-0.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","",""
"37915","","instructions","1","47850","0.0-1.0","3o0uym6hdnhlzt6zsgya","female","battle","[{""page_index"":0,""viewing_time"":5660},{""page_index"":1,""viewing_time"":20811},{""page_index"":2,""viewing_time"":5971},{""page_index"":3,""viewing_time"":5472}]","","","",""
"142242","","html-slider-response","2","190097","0.0-2.0","3o0uym6hdnhlzt6zsgya","female","battle","","3","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","trial",""
"6151","","survey-likert","3","196251","0.0-3.0-0.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","sympathy","{""Q0"":5}"
"3336","","survey-likert","4","199589","0.0-3.0-1.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","urgent","{""Q0"":5}"
"7050","","survey-likert","5","206640","0.0-3.0-2.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","peace","{""Q0"":4}"
"7065","","survey-likert","6","213708","0.0-3.0-3.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","guilty","{""Q0"":1}"
"3074","","survey-multi-choice","7","216786","0.0-4.0-0.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","self-cancer","{""Q0"":""No""}"
"7363","","survey-multi-choice","8","224151","0.0-4.0-1.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","ff-cancer","{""Q0"":""No""}"
"17480","","survey-multi-choice","9","241637","0.0-5.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","demographics","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5475","","survey-text","10","247115","0.0-6.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","age","{""Q0"":""35""}"
"2338","","survey-text","11","249454","0.0-7.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","purpose","{""Q0"":""""}"
"1687","","survey-text","12","251142","0.0-8.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","feedback","{""Q0"":""""}"
"13131","debrief.html","external-html","13","264764","0.0-9.0","3o0uym6hdnhlzt6zsgya","female","battle","","","","",""
