"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"49784","consent.html","external-html","0","49831","0.0-0.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","",""
"15028","","instructions","1","64860","0.0-1.0","3dn2ykz4gzz3qqxjoo6f","male","journey","[{""page_index"":0,""viewing_time"":6170},{""page_index"":1,""viewing_time"":5681},{""page_index"":2,""viewing_time"":1880},{""page_index"":3,""viewing_time"":1296}]","","","",""
"24326","","html-slider-response","2","89188","0.0-2.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","trial",""
"7839","","survey-likert","3","97030","0.0-3.0-0.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","guilty","{""Q0"":2}"
"3843","","survey-likert","4","100876","0.0-3.0-1.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","sympathy","{""Q0"":4}"
"1942","","survey-likert","5","102819","0.0-3.0-2.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","urgent","{""Q0"":4}"
"2167","","survey-likert","6","104988","0.0-3.0-3.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","peace","{""Q0"":4}"
"3789","","survey-multi-choice","7","108780","0.0-4.0-0.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","ff-cancer","{""Q0"":""No""}"
"2581","","survey-multi-choice","8","111363","0.0-4.0-1.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","self-cancer","{""Q0"":""No""}"
"32440","","survey-multi-choice","9","143810","0.0-5.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3629","","survey-text","10","147441","0.0-6.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","age","{""Q0"":""43""}"
"6055","","survey-text","11","153497","0.0-7.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","purpose","{""Q0"":""compassion?""}"
"4799","","survey-text","12","158297","0.0-8.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","feedback","{""Q0"":""Thank you""}"
"9315","debrief.html","external-html","13","167853","0.0-9.0","3dn2ykz4gzz3qqxjoo6f","male","journey","","","","",""
