,model,trial,weight,fold,low confidence,precision,recall,auc,mcc
0,1,1,1.0,1,0.12222222222222222,0.8271604938271605,0.9305555555555556,0.5763888888888888,0.2037037037037037
1,2,1,1.0,1,0.18888888888888888,0.8082191780821918,0.8194444444444444,0.5208333333333333,0.04257997168527446
2,3,1,1.0,1,0.06666666666666667,0.8148148148148148,0.9166666666666666,0.5416666666666666,0.1111111111111111
3,1,1,1.0,2,0.17777777777777778,0.8513513513513513,0.984375,0.7806490384615383,0.6654177233074604
4,2,1,1.0,2,0.08888888888888889,0.7710843373493976,1.0,0.6346153846153846,0.4556310231825488
5,3,1,1.0,2,0.14444444444444443,0.7875,0.984375,0.6652644230769231,0.4766954811310563
6,1,1,1.0,3,0.056179775280898875,0.8275862068965517,1.0,0.5588235294117647,0.3120305804954063
7,2,1,1.0,3,0.1348314606741573,0.868421052631579,0.9166666666666666,0.6642156862745097,0.3655584876035763
8,3,1,1.0,3,0.0898876404494382,0.8333333333333334,0.9722222222222222,0.5743464052287581,0.2538376473225693
9,1,1,1.0,4,0.0449438202247191,0.8846153846153846,0.9324324324324325,0.6662162162162162,0.3781126723202926
10,2,1,1.0,4,0.10112359550561797,0.8648648648648649,0.8648648648648649,0.5990990990990992,0.1981981981981982
11,3,1,1.0,4,0.0898876404494382,0.8918918918918919,0.8918918918918919,0.6792792792792792,0.35855855855855856
12,1,1,1.0,5,0.06741573033707865,0.7976190476190477,0.9852941176470589,0.5878851540616247,0.3241044340028732
13,2,1,1.0,5,0.1348314606741573,0.8024691358024691,0.9558823529411765,0.5969887955182074,0.28795734615630303
14,3,1,1.0,5,0.16853932584269662,0.8571428571428571,0.8823529411764706,0.7030812324929971,0.4208604055638115
15,1,1,1.0,6,0.10112359550561797,0.8048780487804879,0.9705882352941176,0.604341736694678,0.3291517846443242
16,2,1,1.0,6,0.21348314606741572,0.8840579710144928,0.8970588235294118,0.7580532212885154,0.5250054852572466
17,3,1,1.0,6,0.06741573033707865,0.8148148148148148,0.9705882352941176,0.6281512605042017,0.38047793752060255
18,1,1,60.0,1,0.26666666666666666,0.8787878787878788,0.7837837837837838,0.6418918918918919,0.24534987303147354
19,2,1,60.0,1,0.23333333333333334,0.9242424242424242,0.8243243243243243,0.7559121621621622,0.44250602100319336
20,3,1,60.0,1,0.2,0.9041095890410958,0.8918918918918919,0.7271959459459459,0.44383396456853497
21,1,1,60.0,2,0.2111111111111111,0.9154929577464789,0.8904109589041096,0.7687348912167606,0.5155062895170364
22,2,1,60.0,2,0.07777777777777778,0.8607594936708861,0.9315068493150684,0.6422240128928283,0.3399217284547231
23,3,1,60.0,2,0.3111111111111111,0.875,0.863013698630137,0.6668009669621273,0.3264464495871042
24,1,1,60.0,3,0.2808988764044944,0.8548387096774194,0.7464788732394366,0.6232394366197183,0.21536116905434258
25,2,1,60.0,3,0.14606741573033707,0.8636363636363636,0.8028169014084507,0.6514084507042254,0.2778495209424072
26,3,1,60.0,3,0.16853932584269662,0.875,0.7887323943661971,0.6721439749608763,0.30769983137545265
27,1,1,60.0,4,0.14606741573033707,0.8428571428571429,0.9076923076923077,0.7246794871794873,0.4866647585734189
28,2,1,60.0,4,0.12359550561797752,0.85,0.7846153846153846,0.7048076923076924,0.3878501241883149
29,3,1,60.0,4,0.12359550561797752,0.8309859154929577,0.9076923076923077,0.7038461538461538,0.45043215876499426
30,1,1,60.0,5,0.2247191011235955,0.8529411764705882,0.8787878787878788,0.7220026350461134,0.45778325945207554
31,2,1,60.0,5,0.24719101123595505,0.859375,0.8333333333333334,0.7210144927536233,0.43055302321212596
32,3,1,60.0,5,0.3707865168539326,0.859375,0.8333333333333334,0.7210144927536233,0.43055302321212596
33,1,1,60.0,6,0.20224719101123595,0.8055555555555556,0.8405797101449275,0.5702898550724638,0.14926963739204818
34,2,1,60.0,6,0.1348314606741573,0.8088235294117647,0.7971014492753623,0.5735507246376812,0.1446080237547097
35,3,1,60.0,6,0.14606741573033707,0.8428571428571429,0.855072463768116,0.652536231884058,0.3107540032906826
36,1,1,70.0,1,0.16666666666666666,0.8507462686567164,0.8028169014084507,0.6382505559673832,0.2587030432793377
37,2,1,70.0,1,0.17777777777777778,0.8382352941176471,0.8028169014084507,0.611934766493699,0.21258625013105206
38,3,1,70.0,1,0.14444444444444443,0.8823529411764706,0.8450704225352113,0.712008895478132,0.4026468048839794
39,1,1,70.0,2,0.14444444444444443,0.8133333333333334,0.8840579710144928,0.6086956521739131,0.2467175818975845
