"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"29892","consent.html","external-html","0","29924","0.0-0.0","bvbx6k6m4zy64hbc1qec","male","literal","","","","","",""
"2694","","image-button-response","1","32621","0.0-1.0","bvbx6k6m4zy64hbc1qec","male","literal","check-1.png","1","check1","","",""
"4365","","image-button-response","2","36987","0.0-2.0","bvbx6k6m4zy64hbc1qec","male","literal","check-2.png","2","check2","","",""
"113490","","instructions","3","150481","0.0-3.0","bvbx6k6m4zy64hbc1qec","male","literal","","","","[{""page_index"":0,""viewing_time"":8549},{""page_index"":1,""viewing_time"":94757},{""page_index"":2,""viewing_time"":9012},{""page_index"":3,""viewing_time"":1172}]","",""
"78041","","html-slider-response","4","228525","0.0-4.0","bvbx6k6m4zy64hbc1qec","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","40",""
"51867","","survey-text","5","280394","0.0-5.0","bvbx6k6m4zy64hbc1qec","male","literal","","","description","","","{""Q0"":""Jason has stage 2 lymphoma cancer, and will undergo chemo and most likely radiation fr the next 3-4 months.""}"
"10592","","survey-likert","6","290989","0.0-6.0-0.0","bvbx6k6m4zy64hbc1qec","male","literal","","","sympathy","","","{""Q0"":4}"
"7184","","survey-likert","7","298175","0.0-6.0-1.0","bvbx6k6m4zy64hbc1qec","male","literal","","","urgent","","","{""Q0"":5}"
"5123","","survey-text","8","303300","0.0-7.0","bvbx6k6m4zy64hbc1qec","male","literal","","","past-donations","","","{""Q0"":""0""}"
"7292","","survey-multi-choice","9","310596","0.0-8.0-0.0","bvbx6k6m4zy64hbc1qec","male","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2472","","survey-multi-choice","10","313072","0.0-8.0-1.0","bvbx6k6m4zy64hbc1qec","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"14889","","survey-multi-choice","11","327972","0.0-9.0","bvbx6k6m4zy64hbc1qec","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""More than $150,000"",""Q3"":""Yes""}"
"4038","","survey-text","12","332012","0.0-10.0","bvbx6k6m4zy64hbc1qec","male","literal","","","age","","","{""Q0"":""32""}"
"8993","","survey-text","13","341006","0.0-11.0","bvbx6k6m4zy64hbc1qec","male","literal","","","purpose","","","{""Q0"":""no idea""}"
"3948","","survey-text","14","344956","0.0-12.0","bvbx6k6m4zy64hbc1qec","male","literal","","","feedback","","","{""Q0"":""""}"
"21286","debrief.html","external-html","15","366344","0.0-13.0","bvbx6k6m4zy64hbc1qec","male","literal","","","","","",""
